State,District,Median Income,College%
Georgia,Congressional District 9 (119th Congress),50090,20.5
Georgia,Congressional District 10 (119th Congress),50875,26.6
Georgia,Congressional District 11 (119th Congress),60214,22.4
Georgia,Congressional District 12 (119th Congress),46332,20.1
Georgia,Congressional District 13 (119th Congress),49584,17.1
Georgia,Congressional District 14 (119th Congress),50046,21.2
Hawaii,Congressional District 1 (119th Congress),55735,32.8
Hawaii,Congressional District 2 (119th Congress),51290,18.4
Idaho,Congressional District 1 (119th Congress),50461,20.6
Idaho,Congressional District 2 (119th Congress),50067,26.1
Illinois,Congressional District 1 (119th Congress),51628,25.3
Illinois,Congressional District 2 (119th Congress),47073,15.0
Illinois,Congressional District 3 (119th Congress),52733,24.5
Illinois,Congressional District 4 (119th Congress),45861,25.8
Illinois,Congressional District 5 (119th Congress),79045,27.7
Illinois,Congressional District 6 (119th Congress),62164,23.7
Illinois,Congressional District 7 (119th Congress),68113,32.3
Illinois,Congressional District 8 (119th Congress),58074,24.5
Illinois,Congressional District 9 (119th Congress),64630,30.7
Illinois,Congressional District 10 (119th Congress),62205,21.7
Illinois,Congressional District 11 (119th Congress),62237,24.2
Illinois,Congressional District 12 (119th Congress),50346,17.4
Illinois,Congressional District 13 (119th Congress),51298,36.9
Illinois,Congressional District 14 (119th Congress),57577,23.8
Illinois,Congressional District 15 (119th Congress),51566,17.1
Illinois,Congressional District 16 (119th Congress),53586,14.0
Illinois,Congressional District 17 (119th Congress),45460,28.9
Indiana,Congressional District 1 (119th Congress),52411,15.5
Indiana,Congressional District 2 (119th Congress),47322,16.8
Indiana,Congressional District 3 (119th Congress),48891,13.9
Indiana,Congressional District 4 (119th Congress),51502,33.4
Indiana,Congressional District 5 (119th Congress),57145,23.7
Indiana,Congressional District 6 (119th Congress),51748,17.2
Indiana,Congressional District 7 (119th Congress),48450,21.8
Indiana,Congressional District 8 (119th Congress),47321,20.8
Indiana,Congressional District 9 (119th Congress),50553,28.0
Iowa,Congressional District 1 (119th Congress),51005,25.2
Iowa,Congressional District 2 (119th Congress),50894,21.3
Iowa,Congressional District 3 (119th Congress),53792,18.2
Iowa,Congressional District 4 (119th Congress),50191,28.8
Kansas,Congressional District 1 (119th Congress),46730,33.2
Kansas,Congressional District 2 (119th Congress),46669,16.8
Kansas,Congressional District 3 (119th Congress),65213,21.2
Kansas,Congressional District 4 (119th Congress),50506,23.2
Kentucky,Congressional District 1 (119th Congress),43070,17.6
Kentucky,Congressional District 2 (119th Congress),47356,20.2
Kentucky,Congressional District 3 (119th Congress),48330,23.2
Kentucky,Congressional District 4 (119th Congress),54001,15.3
Kentucky,Congressional District 5 (119th Congress),40567,17.6
Kentucky,Congressional District 6 (119th Congress),50781,30.4
Louisiana,Congressional District 1 (119th Congress),55376,17.4
Louisiana,Congressional District 2 (119th Congress),44254,16.7
Louisiana,Congressional District 3 (119th Congress),45119,13.0
Louisiana,Congressional District 4 (119th Congress),46503,19.6
Louisiana,Congressional District 5 (119th Congress),45800,25.6
Louisiana,Congressional District 6 (119th Congress),40691,20.8
Maine,Congressional District 1 (119th Congress),56835,27.5
Maine,Congressional District 2 (119th Congress),47861,26.5
Maryland,Congressional District 1 (119th Congress),61509,21.2
Maryland,Congressional District 2 (119th Congress),63044,28.9
Maryland,Congressional District 3 (119th Congress),76748,21.0
Maryland,Congressional District 4 (119th Congress),52400,29.4
Maryland,Congressional District 5 (119th Congress),79133,21.4
Maryland,Congressional District 6 (119th Congress),63111,23.1
Maryland,Congressional District 7 (119th Congress),52479,25.5
Maryland,Congressional District 8 (119th Congress),81253,24.8
Massachusetts,Congressional District 1 (119th Congress),55892,26.6
Massachusetts,Congressional District 2 (119th Congress),64033,37.5
Massachusetts,Congressional District 3 (119th Congress),61010,23.0
Massachusetts,Congressional District 4 (119th Congress),70913,25.0
Massachusetts,Congressional District 5 (119th Congress),80465,33.4
Massachusetts,Congressional District 6 (119th Congress),71539,22.9
Massachusetts,Congressional District 7 (119th Congress),62473,53.0
Massachusetts,Congressional District 8 (119th Congress),77343,29.4
Massachusetts,Congressional District 9 (119th Congress),65091,21.2
Michigan,Congressional District 1 (119th Congress),44428,25.0
Michigan,Congressional District 2 (119th Congress),46370,23.2
Michigan,Congressional District 3 (119th Congress),50828,23.9
Michigan,Congressional District 4 (119th Congress),51007,22.3
Michigan,Congressional District 5 (119th Congress),48020,17.6
Michigan,Congressional District 6 (119th Congress),65910,37.6
Michigan,Congressional District 7 (119th Congress),55053,33.1
Michigan,Congressional District 8 (119th Congress),45878,17.8
Michigan,Congressional District 9 (119th Congress),55227,17.3
Michigan,Congressional District 10 (119th Congress),51799,23.2
Michigan,Congressional District 11 (119th Congress),62074,27.0
Michigan,Congressional District 12 (119th Congress),45489,22.6
Michigan,Congressional District 13 (119th Congress),42130,17.3
Minnesota,Congressional District 1 (119th Congress),53712,24.7
Minnesota,Congressional District 2 (119th Congress),65330,17.8
Minnesota,Congressional District 3 (119th Congress),70001,19.9
Minnesota,Congressional District 4 (119th Congress),55362,22.8
Minnesota,Congressional District 5 (119th Congress),61254,32.6
Minnesota,Congressional District 6 (119th Congress),63334,17.8
Minnesota,Congressional District 7 (119th Congress),50590,13.5
Minnesota,Congressional District 8 (119th Congress),51688,19.8
Mississippi,Congressional District 1 (119th Congress),46162,21.1
Mississippi,Congressional District 2 (119th Congress),38387,21.7
Mississippi,Congressional District 3 (119th Congress),47639,24.3
Mississippi,Congressional District 4 (119th Congress),45722,19.0
Missouri,Congressional District 1 (119th Congress),47834,23.9
Missouri,Congressional District 2 (119th Congress),63489,18.5
Missouri,Congressional District 3 (119th Congress),55359,28.3
Missouri,Congressional District 4 (119th Congress),46516,17.9
Missouri,Congressional District 5 (119th Congress),50523,20.2
Missouri,Congressional District 6 (119th Congress),50457,18.7
Missouri,Congressional District 7 (119th Congress),42971,20.5
Missouri,Congressional District 8 (119th Congress),42157,17.9
Montana,Congressional District 1 (119th Congress),49960,31.0
Montana,Congressional District 2 (119th Congress),47013,14.6
Nebraska,Congressional District 1 (119th Congress),52137,30.8
Nebraska,Congressional District 2 (119th Congress),55406,21.5
Nebraska,Congressional District 3 (119th Congress),46887,16.4
Nevada,Congressional District 1 (119th Congress),44278,20.1
Nevada,Congressional District 2 (119th Congress),52401,22.0
Nevada,Congressional District 3 (119th Congress),51865,26.4
Nevada,Congressional District 4 (119th Congress),44583,17.2
New Hampshire,Congressional District 1 (119th Congress),61010,28.5
New Hampshire,Congressional District 2 (119th Congress),59973,26.6
New Jersey,Congressional District 1 (119th Congress),60832,25.4
New Jersey,Congressional District 2 (119th Congress),51012,18.0
New Jersey,Congressional District 3 (119th Congress),66112,22.2
New Jersey,Congressional District 4 (119th Congress),66057,24.0
New Jersey,Congressional District 5 (119th Congress),75139,22.5
New Jersey,Congressional District 6 (119th Congress),61029,34.6
New Jersey,Congressional District 7 (119th Congress),75802,20.6
New Jersey,Congressional District 8 (119th Congress),59922,26.3
New Jersey,Congressional District 9 (119th Congress),53951,20.3
New Jersey,Congressional District 10 (119th Congress),50786,25.4
New Jersey,Congressional District 11 (119th Congress),80370,24.3
New Jersey,Congressional District 12 (119th Congress),66001,24.7
New Mexico,Congressional District 1 (119th Congress),51374,27.3
New Mexico,Congressional District 2 (119th Congress),41244,24.9
New Mexico,Congressional District 3 (119th Congress),45568,18.5
New York,Congressional District 1 (119th Congress),71512,31.6
New York,Congressional District 2 (119th Congress),60456,20.4
New York,Congressional District 3 (119th Congress),74574,26.9
New York,Congressional District 4 (119th Congress),68969,27.7
New York,Congressional District 5 (119th Congress),49472,26.9
New York,Congressional District 6 (119th Congress),50519,27.0
New York,Congressional District 7 (119th Congress),65541,25.8
New York,Congressional District 8 (119th Congress),51392,21.7
New York,Congressional District 9 (119th Congress),51375,23.2
New York,Congressional District 10 (119th Congress),86691,30.2
New York,Congressional District 11 (119th Congress),56551,23.6
New York,Congressional District 12 (119th Congress),112258,44.0
New York,Congressional District 13 (119th Congress),45553,27.9
New York,Congressional District 14 (119th Congress),47027,22.3
New York,Congressional District 15 (119th Congress),40994,23.0
New York,Congressional District 16 (119th Congress),66828,24.5
New York,Congressional District 17 (119th Congress),70579,22.7
New York,Congressional District 18 (119th Congress),59739,25.5
New York,Congressional District 19 (119th Congress),51571,35.1
New York,Congressional District 20 (119th Congress),62646,31.8
New York,Congressional District 21 (119th Congress),49908,21.3
New York,Congressional District 22 (119th Congress),53147,32.3
New York,Congressional District 23 (119th Congress),52369,17.6
New York,Congressional District 24 (119th Congress),49417,20.8
New York,Congressional District 25 (119th Congress),55904,29.3
New York,Congressional District 26 (119th Congress),51294,31.9
North Carolina,Congressional District 1 (119th Congress),41335,18.5
North Carolina,Congressional District 2 (119th Congress),62253,32.5
North Carolina,Congressional District 3 (119th Congress),47479,27.6
North Carolina,Congressional District 4 (119th Congress),67340,30.2
North Carolina,Congressional District 5 (119th Congress),43416,32.5
North Carolina,Congressional District 6 (119th Congress),50131,21.3
North Carolina,Congressional District 7 (119th Congress),49047,25.3
North Carolina,Congressional District 8 (119th Congress),52944,19.3
North Carolina,Congressional District 9 (119th Congress),46019,22.3
North Carolina,Congressional District 10 (119th Congress),50799,26.2
North Carolina,Congressional District 11 (119th Congress),42331,23.2
North Carolina,Congressional District 12 (119th Congress),55438,26.4
North Carolina,Congressional District 13 (119th Congress),52936,17.8
North Carolina,Congressional District 14 (119th Congress),51214,17.5
North Dakota,Congressional District (at Large) (119th Congress),53510,30.4
Ohio,Congressional District 1 (119th Congress),60788,24.7
Ohio,Congressional District 2 (119th Congress),48922,13.5
Ohio,Congressional District 3 (119th Congress),52461,32.6
Ohio,Congressional District 4 (119th Congress),54056,15.5
Ohio,Congressional District 5 (119th Congress),50320,22.2
Ohio,Congressional District 6 (119th Congress),44162,18.6
Ohio,Congressional District 7 (119th Congress),57427,18.6
Ohio,Congressional District 8 (119th Congress),51489,22.2
Ohio,Congressional District 9 (119th Congress),50393,19.0
Ohio,Congressional District 10 (119th Congress),50125,25.2
Ohio,Congressional District 11 (119th Congress),46300,19.9
Ohio,Congressional District 12 (119th Congress),52102,21.8
Ohio,Congressional District 13 (119th Congress),50143,18.6
Ohio,Congressional District 14 (119th Congress),51697,19.6
Ohio,Congressional District 15 (119th Congress),52835,17.3
Oklahoma,Congressional District 1 (119th Congress),49261,18.6
Oklahoma,Congressional District 2 (119th Congress),41574,15.4
Oklahoma,Congressional District 3 (119th Congress),43368,24.0
Oklahoma,Congressional District 4 (119th Congress),46643,23.8
Oklahoma,Congressional District 5 (119th Congress),52220,21.0
Oregon,Congressional District 1 (119th Congress),62370,25.4
Oregon,Congressional District 2 (119th Congress),45740,15.9
Oregon,Congressional District 3 (119th Congress),57126,24.2
Oregon,Congressional District 4 (119th Congress),46423,33.8
Oregon,Congressional District 5 (119th Congress),56405,16.7
Oregon,Congressional District 6 (119th Congress),54070,21.0
Pennsylvania,Congressional District 1 (119th Congress),66078,18.6
Pennsylvania,Congressional District 2 (119th Congress),47035,21.8
Pennsylvania,Congressional District 3 (119th Congress),55184,35.4
Pennsylvania,Congressional District 4 (119th Congress),69569,19.5
Pennsylvania,Congressional District 5 (119th Congress),56993,25.5
Pennsylvania,Congressional District 6 (119th Congress),66014,23.2
Pennsylvania,Congressional District 7 (119th Congress),51288,24.4
Pennsylvania,Congressional District 8 (119th Congress),48702,23.6
Pennsylvania,Congressional District 9 (119th Congress),49316,20.6
Pennsylvania,Congressional District 10 (119th Congress),52864,20.6
Pennsylvania,Congressional District 11 (119th Congress),55001,19.4
Pennsylvania,Congressional District 12 (119th Congress),56581,37.5
Pennsylvania,Congressional District 13 (119th Congress),47807,21.2
Pennsylvania,Congressional District 14 (119th Congress),50225,20.2
Pennsylvania,Congressional District 15 (119th Congress),45463,35.5
Pennsylvania,Congressional District 16 (119th Congress),50323,26.1
Pennsylvania,Congressional District 17 (119th Congress),60978,16.7
Rhode Island,Congressional District 1 (119th Congress),55598,31.4
Rhode Island,Congressional District 2 (119th Congress),60194,29.9
South Carolina,Congressional District 1 (119th Congress),57488,15.3
South Carolina,Congressional District 2 (119th Congress),50993,19.7
South Carolina,Congressional District 3 (119th Congress),46895,25.5
South Carolina,Congressional District 4 (119th Congress),51057,18.6
South Carolina,Congressional District 5 (119th Congress),50924,19.5
South Carolina,Congressional District 6 (119th Congress),43440,31.5
South Carolina,Congressional District 7 (119th Congress),41935,19.5
South Dakota,Congressional District (at Large) (119th Congress),50954,18.3
Tennessee,Congressional District 1 (119th Congress),41402,19.8
Tennessee,Congressional District 2 (119th Congress),50786,27.9
Tennessee,Congressional District 3 (119th Congress),49314,19.8
Tennessee,Congressional District 4 (119th Congress),48979,16.3
Tennessee,Congressional District 5 (119th Congress),60058,17.3
Tennessee,Congressional District 6 (119th Congress),50544,18.8
Tennessee,Congressional District 7 (119th Congress),52105,26.2
Tennessee,Congressional District 8 (119th Congress),49946,15.8
Tennessee,Congressional District 9 (119th Congress),43573,14.9
Texas,Congressional District 1 (119th Congress),44478,17.7
Texas,Congressional District 2 (119th Congress),60626,17.1
Texas,Congressional District 3 (119th Congress),70867,22.7
Texas,Congressional District 4 (119th Congress),62262,18.2
Texas,Congressional District 5 (119th Congress),46255,15.2
Texas,Congressional District 6 (119th Congress),50180,17.1
Texas,Congressional District 7 (119th Congress),53635,27.2
Texas,Congressional District 8 (119th Congress),55363,21.7
Texas,Congressional District 9 (119th Congress),44405,23.8
Texas,Congressional District 10 (119th Congress),57319,38.5
Texas,Congressional District 11 (119th Congress),48654,15.0
Texas,Congressional District 12 (119th Congress),55503,20.8
Texas,Congressional District 13 (119th Congress),48461,22.3
Texas,Congressional District 14 (119th Congress),53358,19.4
Texas,Congressional District 15 (119th Congress),40203,18.0
Texas,Congressional District 16 (119th Congress),40175,24.4
Texas,Congressional District 17 (119th Congress),48606,26.6
Texas,Congressional District 18 (119th Congress),42544,20.7
Texas,Congressional District 19 (119th Congress),45929,28.0
Texas,Congressional District 20 (119th Congress),42093,27.0
Texas,Congressional District 21 (119th Congress),60277,24.0
Texas,Congressional District 22 (119th Congress),65622,19.9
Texas,Congressional District 23 (119th Congress),52024,19.4
Texas,Congressional District 24 (119th Congress),71000,17.5
Texas,Congressional District 25 (119th Congress),51153,24.2
Texas,Congressional District 26 (119th Congress),71062,21.2
Texas,Congressional District 27 (119th Congress),45936,19.4
Texas,Congressional District 28 (119th Congress),41382,17.8
Texas,Congressional District 29 (119th Congress),37395,17.0
Texas,Congressional District 30 (119th Congress),51317,24.9
Texas,Congressional District 31 (119th Congress),60243,16.7
Texas,Congressional District 32 (119th Congress),51968,26.0
Texas,Congressional District 33 (119th Congress),41074,13.3
Texas,Congressional District 34 (119th Congress),35493,18.2
Texas,Congressional District 35 (119th Congress),48751,24.7
Texas,Congressional District 36 (119th Congress),50182,17.4
Texas,Congressional District 37 (119th Congress),70397,33.1
Texas,Congressional District 38 (119th Congress),62155,19.5
Utah,Congressional District 1 (119th Congress),55114,29.5
Utah,Congressional District 2 (119th Congress),51561,25.1
Utah,Congressional District 3 (119th Congress),54104,35.3
Utah,Congressional District 4 (119th Congress),58229,17.0
Vermont,Congressional District (at Large) (119th Congress),54378,26.1
Virginia,Congressional District 1 (119th Congress),62354,21.7
Virginia,Congressional District 2 (119th Congress),56554,23.9
Virginia,Congressional District 3 (119th Congress),49699,28.3
Virginia,Congressional District 4 (119th Congress),50542,24.7
Virginia,Congressional District 5 (119th Congress),50132,32.4
Virginia,Congressional District 6 (119th Congress),50222,25.4
Virginia,Congressional District 7 (119th Congress),61596,19.9
Virginia,Congressional District 8 (119th Congress),89816,29.1
Virginia,Congressional District 9 (119th Congress),45876,33.1
Virginia,Congressional District 10 (119th Congress),82700,20.5
Virginia,Congressional District 11 (119th Congress),90856,27.4
Washington,Congressional District 1 (119th Congress),84650,20.9
Washington,Congressional District 2 (119th Congress),60065,29.1
Washington,Congressional District 3 (119th Congress),59438,16.3
Washington,Congressional District 4 (119th Congress),50013,13.9
Washington,Congressional District 5 (119th Congress),53490,29.7
Washington,Congressional District 6 (119th Congress),61984,20.0
Washington,Congressional District 7 (119th Congress),85243,39.6
Washington,Congressional District 8 (119th Congress),76304,17.9
Washington,Congressional District 9 (119th Congress),61614,25.3
Washington,Congressional District 10 (119th Congress),60884,21.4
West Virginia,Congressional District 1 (119th Congress),43703,17.6
West Virginia,Congressional District 2 (119th Congress),46903,23.1
Wisconsin,Congressional District 1 (119th Congress),53357,19.6
Wisconsin,Congressional District 2 (119th Congress),60996,34.7
Wisconsin,Congressional District 3 (119th Congress),51232,28.5
Wisconsin,Congressional District 4 (119th Congress),50247,22.0
Wisconsin,Congressional District 5 (119th Congress),60886,18.7
Wisconsin,Congressional District 6 (119th Congress),52100,20.4
Wisconsin,Congressional District 7 (119th Congress),50271,13.4
Wisconsin,Congressional District 8 (119th Congress),52088,18.1
Wyoming,Congressional District (at Large) (119th Congress),50162,22.6
